#session,step,active_part,passive_part,action,msg_content,msg_type
3,0,alice,-,AnBx_Params,X9;alice;X8,anbxj.AnBx_Params
3,0,alice,-,inv_check,X8,anbxj.Crypto_ByteArray.toString
3,1,alice,-,generateNumberText3,X10,anbxj.Crypto_ByteArray
3,1,alice,-,generateNumber,X11,anbxj.Crypto_ByteArray
3,1,alice,-,AnBx_Params,X11;bob;X10,anbxj.AnBx_Params
3,1,alice,bob,sent,@edf4efb,javax.crypto.SealedObject
3,1,bob,alice,received,@edf4efb,javax.crypto.SealedObject
3,1,bob,-,AnBx_Params,X11;bob;X10,anbxj.AnBx_Params
3,1,bob,-,eq_check,bob,java.lang.String.toString
3,1,bob,-,AnBx_Params,X11;bob;X10,anbxj.AnBx_Params
3,1,bob,-,inv_check,X10,anbxj.Crypto_ByteArray.toString
4,0,bob,-,generateNumberText1,X12,anbxj.Crypto_ByteArray
4,0,bob,-,generateNumber,X13,anbxj.Crypto_ByteArray
